Tanggal_Penerbangan,Hari,Maskapai,Nomor_Penerbangan,Bandara_Asal,Kode_IATA_Asal,Bandara_Tujuan,Kode_IATA_Tujuan,Jadwal_Keberangkatan,Jadwal_Kedatangan,Kota_tujuan,Cuaca_tujuan,Deskripsi_tujuan,Suhu_Celcius_tujuan,Kelembaban_%_tujuan,Tekanan_hPa_tujuan,Kecepatan_Angin_m/s_tujuan,Tanggal_tujuan
2025-07-28,Senin,Etihad Airways,EY7110,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,580,755,Denpasar,Thunderstorm,badai petir,32.0,62,1008,2.2,2025-07-28
2025-07-28,Senin,Air Europa,UX3552,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,580,755,Denpasar,Thunderstorm,badai petir,32.0,62,1008,2.2,2025-07-28
2025-07-28,Senin,Emirates,EK7255,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,580,755,Denpasar,Thunderstorm,badai petir,32.0,62,1008,2.2,2025-07-28
2025-07-28,Senin,Super Air Jet,IU810,Soekarno-Hatta International,CGK,Minangkabau International Airport,PDG,690,795,Padang,Clouds,berawan,25.5,90,1014,4.3,2025-07-28
2025-07-28,Senin,TransNusa,8B5106,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,630,800,Denpasar,Clear,cerah,29.0,88,1014,2.3,2025-07-28
2025-07-28,Senin,Citilink,QG962,Soekarno-Hatta International,CGK,Minangkabau International Airport,PDG,695,800,Padang,Clouds,berawan,25.5,90,1014,4.3,2025-07-28
2025-07-28,Senin,Lion Air,JT774,Soekarno-Hatta International,CGK,Hasanudin,UPG,600,800,Makassar,Clear,cerah,31.6,79,1011,2.2,2025-07-28
2025-07-28,Senin,Lion Air,JT1740,Soekarno-Hatta International,CGK,Hasanudin,UPG,600,800,Makassar,Clear,cerah,31.6,79,1011,2.2,2025-07-28
2025-07-28,Senin,Lion Air,JT1774,Soekarno-Hatta International,CGK,Hasanudin,UPG,600,800,Makassar,Clear,cerah,31.6,79,1011,2.2,2025-07-28
2025-07-28,Senin,Citilink,QG716,Soekarno-Hatta International,CGK,Juanda,SUB,705,805,Surabaya,Drizzle,gerimis,33.7,82,1014,1.7,2025-07-28
2025-07-28,Senin,Citilink,QG686,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,630,805,Denpasar,Clear,cerah,29.0,88,1014,2.3,2025-07-28
2025-07-28,Senin,Batik Air,ID8050,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,640,810,Denpasar,Clear,cerah,29.0,88,1014,2.3,2025-07-28
2025-07-28,Senin,Super Air Jet,IU734,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,640,810,Denpasar,Clear,cerah,29.0,88,1014,2.3,2025-07-28
2025-07-28,Senin,Pelita Air,IP354,Soekarno-Hatta International,CGK,Minangkabau International Airport,PDG,720,825,Padang,Clouds,berawan,25.5,90,1014,4.3,2025-07-28
2025-07-28,Senin,Saudia,SV6149,Soekarno-Hatta International,CGK,Juanda,SUB,735,835,Surabaya,Drizzle,gerimis,33.7,82,1014,1.7,2025-07-28
2025-07-28,Senin,Malaysia Airlines,MH4031,Soekarno-Hatta International,CGK,Juanda,SUB,735,835,Surabaya,Drizzle,gerimis,33.7,82,1014,1.7,2025-07-28
2025-07-28,Senin,KLM,KL4060,Soekarno-Hatta International,CGK,Juanda,SUB,735,835,Surabaya,Drizzle,gerimis,33.7,82,1014,1.7,2025-07-28
2025-07-28,Senin,Vietnam Airlines,VN3872,Soekarno-Hatta International,CGK,Juanda,SUB,735,835,Surabaya,Drizzle,gerimis,33.7,82,1014,1.7,2025-07-28
2025-07-28,Senin,Emirates,EK7312,Soekarno-Hatta International,CGK,Juanda,SUB,735,835,Surabaya,Drizzle,gerimis,33.7,82,1014,1.7,2025-07-28
2025-07-28,Senin,Garuda Indonesia,GA312,Soekarno-Hatta International,CGK,Juanda,SUB,735,835,Surabaya,Drizzle,gerimis,33.7,82,1014,1.7,2025-07-28
2025-07-28,Senin,Etihad Airways,EY8130,Soekarno-Hatta International,CGK,Juanda,SUB,735,835,Surabaya,Drizzle,gerimis,33.7,82,1014,1.7,2025-07-28
